Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,  340.1,  357.8,  375.6,  385.3,  377.0,  389.1,  401.5,  403.0,  417.2,  422.2,  402.7,  385.6,  379.0,  394.3,  393.8,  385.7,  396.6,  426.6,  442.2,  419.5,  413.0,  425.8,  423.2,  438.4,  448.9,  462.8,  478.4,  484.6,  494.7,  516.2,  508.5,  514.4,  534.2,  526.1,  541.2,  533.1,  564.0,  544.0,  514.6,  528.4,  538.8,  539.1,  552.0,  554.4,  549.2
Chile,  21.0,  20.6,  20.0,  19.7,  17.1,  17.9,  18.7,  19.4,  20.6,  21.4,  21.3,  18.4,  19.0,  20.2,  19.6,  20.2,  20.5,  24.8,  30.0,  29.4,  28.3,  29.2,  31.0,  34.0,  37.1,  42.9,  49.4,  50.1,  52.6,  48.6,  46.7,  47.4,  48.6,  53.3,  54.4,  55.7,  63.1,  66.5,  64.2,  68.6,  75.3,  77.2,  82.0,  75.8,  81.6
Mexico,  93.7,  106.4,  117.6,  128.2,  134.5,  145.2,  154.3,  170.1,  183.8,  204.5,  219.5,  230.3,  223.8,  231.8,  241.1,  239.8,  249.4,  248.2,  262.0,  256.9,  275.1,  277.9,  285.5,  309.2,  291.2,  304.7,  322.9,  345.3,  335.8,  359.6,  360.5,  368.0,  386.5,  395.9,  412.3,  426.8,  433.3,  434.4,  425.1,  440.3,  456.3,  459.3,  449.5,  434.1,  442.3
United States, 4 288.1, 4 527.0, 4 690.0, 4 539.0, 4 355.0, 4 615.8, 4 780.7, 4 770.2, 4 799.3, 4 594.9, 4 533.1, 4 320.4, 4 293.9, 4 484.9, 4 513.7, 4 477.4, 4 632.4, 4 841.3, 4 903.8, 4 802.5, 4 765.2, 4 837.1, 4 952.1, 5 023.4, 5 073.2, 5 229.8, 5 396.5, 5 415.0, 5 438.4, 5 642.6, 5 605.1, 5 535.8, 5 609.4, 5 687.8, 5 702.3, 5 601.7, 5 685.9, 5 511.6, 5 119.9, 5 347.0, 5 211.1, 5 031.3, 5 103.2, 5 168.1, 4 997.5
OECD Americas, 4 743.0, 5 011.9, 5 203.2, 5 072.2, 4 883.6, 5 168.0, 5 355.1, 5 362.7, 5 421.0, 5 243.0, 5 176.6, 4 954.7, 4 915.6, 5 131.2, 5 168.2, 5 123.1, 5 298.8, 5 541.0, 5 638.0, 5 508.3, 5 481.5, 5 570.0, 5 691.7, 5 805.0, 5 850.4, 6 040.2, 6 247.3, 6 294.9, 6 321.4, 6 567.0, 6 520.8, 6 465.6, 6 578.6, 6 663.2, 6 710.2, 6 617.2, 6 746.2, 6 556.5, 6 123.7, 6 384.4, 6 281.6, 6 107.0, 6 186.7, 6 232.4, 6 070.7
Australia,  143.4,  148.4,  157.7,  172.5,  179.5,  181.9,  195.9,  191.1,  197.4,  206.7,  207.4,  213.7,  201.8,  208.1,  220.2,  221.5,  231.8,  240.8,  254.3,  259.7,  261.1,  265.1,  269.0,  274.9,  285.4,  295.8,  303.1,  323.8,  328.9,  334.7,  341.0,  349.0,  352.9,  366.7,  371.9,  377.4,  387.4,  390.0,  396.0,  389.1,  387.1,  386.5,  382.5,  373.3,  380.9
Israel,  13.8,  14.4,  15.7,  15.8,  16.4,  16.5,  17.4,  18.6,  19.0,  18.8,  19.6,  20.9,  21.8,  22.7,  24.3,  26.7,  29.0,  30.7,  31.9,  32.8,  33.3,  35.5,  39.0,  41.8,  44.9,  47.1,  49.2,  49.3,  50.7,  54.8,  56.1,  59.2,  61.0,  61.2,  58.8,  62.0,  64.3,  64.5,  63.8,  68.4,  67.5,  73.7,  65.9,  61.3,  62.3
Japan,  750.7,  788.5,  897.5,  885.7,  849.5,  876.1,  900.8,  895.3,  917.5,  870.2,  846.2,  819.9,  825.8,  886.4,  865.9,  865.9,  871.1,  936.6,  964.3, 1 042.0, 1 045.2, 1 055.9, 1 048.0, 1 097.3, 1 110.0, 1 123.1, 1 117.6, 1 089.2, 1 129.6, 1 141.2, 1 130.9, 1 168.7, 1 175.8, 1 172.3, 1 177.7, 1 162.3, 1 206.4, 1 120.6, 1 059.9, 1 111.8, 1 165.7, 1 208.8, 1 229.6, 1 184.4, 1 141.6
Korea,  52.9,  54.8,  68.2,  71.6,  77.7,  86.4,  98.6,  107.4,  121.2,  125.6,  131.3,  131.2,  139.1,  151.4,  155.7,  162.0,  168.3,  191.9,  203.1,  231.7,  255.7,  275.8,  302.8,  327.3,  357.1,  381.5,  402.1,  343.5,  378.0,  431.7,  445.7,  435.7,  437.6,  459.6,  457.5,  464.6,  477.3,  488.7,  501.9,  550.7,  573.6,  575.3,  572.2,  567.8,  586.0
New Zealand,  13.5,  15.5,  16.7,  17.4,  16.4,  18.2,  18.7,  18.2,  16.4,  16.5,  16.3,  17.9,  18.1,  18.4,  18.9,  17.9,  19.1,  20.4,  20.5,  21.7,  22.1,  23.8,  23.4,  23.7,  23.9,  24.9,  27.2,  26.7,  28.1,  29.0,  31.2,  31.1,  33.0,  32.4,  33.7,  33.8,  32.6,  33.4,  30.5,  30.3,  29.7,  31.2,  31.0,  31.2,  31.2
