Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,419.5,413,425.8,423.2,438.4,448.9,462.8,478.4,484.6,494.7,516.2,508.5,514.4,534.2,526.1,541.2,533.1,564,544,514.6,528.4,538.8,539.1,552,554.4,549.2
Chile,29.4,28.3,29.2,31,34,37.1,42.9,49.4,50.1,52.6,48.6,46.7,47.4,48.6,53.3,54.4,55.7,63.1,66.5,64.2,68.6,75.3,77.2,82,75.8,81.6
Mexico,256.9,275.1,277.9,285.5,309.2,291.2,304.7,322.9,345.3,335.8,359.6,360.5,368,386.5,395.9,412.3,426.8,433.3,434.4,425.1,440.3,456.3,459.3,449.5,434.1,442.3
United States,4802.5,4765.2,4837.1,4952.1,5023.4,5073.2,5229.8,5396.5,5415,5438.4,5642.6,5605.1,5535.8,5609.4,5687.8,5702.3,5601.7,5685.9,5511.6,5119.9,5347,5211.1,5031.3,5103.2,5168.1,4997.5
Australia,259.7,261.1,265.1,269,274.9,285.4,295.8,303.1,323.8,328.9,334.7,341,349,352.9,366.7,371.9,377.4,387.4,390,396,389.1,387.1,386.5,382.5,373.3,380.9
Israel,32.8,33.3,35.5,39,41.8,44.9,47.1,49.2,49.3,50.7,54.8,56.1,59.2,61,61.2,58.8,62,64.3,64.5,63.8,68.4,67.5,73.7,65.9,61.3,62.3
Japan,1042,1045.2,1055.9,1048,1097.3,1110,1123.1,1117.6,1089.2,1129.6,1141.2,1130.9,1168.7,1175.8,1172.3,1177.7,1162.3,1206.4,1120.6,1059.9,1111.8,1165.7,1208.8,1229.6,1184.4,1141.6
Korea,231.7,255.7,275.8,302.8,327.3,357.1,381.5,402.1,343.5,378,431.7,445.7,435.7,437.6,459.6,457.5,464.6,477.3,488.7,501.9,550.7,573.6,575.3,572.2,567.8,586
New Zealand,21.7,22.1,23.8,23.4,23.7,23.9,24.9,27.2,26.7,28.1,29,31.2,31.1,33,32.4,33.7,33.8,32.6,33.4,30.5,30.3,29.7,31.2,31,31.2,31.2
Austria,56.3,60.4,55.6,55.8,56.2,59.6,63.3,62.5,63.1,61.5,61.9,66.2,67.5,72.5,73.7,74.1,71.7,69.3,69.4,63.6,68.7,66.8,63.9,64.2,60.6,62.1
Belgium,106.2,110.9,109.1,107.1,111.9,111.4,116.7,113.5,116.2,112.3,113.7,114.9,107.6,112.4,111,107.3,105.4,101.8,103.7,96.7,103.6,92.8,92.3,93.4,87.3,92.5
Czech Republic,150.3,137,131.8,128.9,122.6,123.3,124.7,122.8,116.9,110.1,121.3,121.2,117.2,121.4,121.9,118.5,118.9,121.7,116.5,109.7,112.6,109.4,105.8,101.5,98.4,99.6
Denmark,51,61.2,55.3,57.7,61.6,58.4,71.6,61.9,58,54.8,50.8,52.3,52.1,57.4,51.8,48.4,56.4,51.6,48.6,46.9,47.2,42,36.8,38.6,34.4,32
Estonia,36,32.3,23.7,18.2,17.6,16,16.9,16.5,15.9,14.9,14.5,15,14.6,16.6,16.6,16.8,15.5,19.3,17.8,14.8,18.7,17.7,16.4,18.9,18.6,15.5
Finland,53.8,54.5,51.8,53.1,59.5,55.7,62.2,60.2,56.8,56,54.6,60.6,63,71.2,67.2,54.9,66.4,64.5,56,53.8,62,54.6,48.9,49.5,45.5,42.1
France,345.5,370.2,359.2,340.8,335.6,343.5,359.4,350.9,372.4,366.5,364.5,368.1,362.4,368.2,368.9,371.8,362.5,354.4,350.1,333.6,340.8,310.2,313.5,316.2,284,290.5
Germany,940.3,917.8,877.8,872,859.2,856.7,887.2,855,847,815,812.4,831.6,818,820.8,804.8,786.8,799.3,766.8,775.3,720.3,758.9,731.3,744.8,763.9,723.3,729.8
