Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,1014.1,992.5,1001.3,1027.9,1074.1,1102.8,1120.6,1168.5,1213.9,1276.6,1342.7,1366.5,1407.6,1433,1477.2,1524.5,1564.5,1596.8,1612.8,1565.2,1613.5,1664.1,1693.2,1735.1,1779.6,1796.4
Chile,76.2,82.3,92.4,98.9,104.5,115.6,124.2,133,138.5,137.7,144.8,149.5,153.5,159.3,170.5,181,191.4,201.2,207.9,205.7,217.5,230.2,242.8,252.5,257.2,263.1
Mexico,617.9,643.9,667.3,680.3,710.4,666.6,700.9,748.4,786,815.5,869.3,869,875.7,887.9,925.3,953.7,1001.2,1033.5,1047.7,998,1049.9,1091.1,1135.1,1151.1,1177,1207.7
United States,9064.4,9057.7,9379.7,9637.3,10026.4,10299,10690,11169.6,11666.7,12213.3,12713.1,12837.1,13066.4,13433.2,13941.7,14408.1,14792.3,15055.4,15011.5,14594.8,14964.4,15204,15542.2,15802.9,16177.5,16597.4
Australia,673.5,676.5,704,732.5,761,791,822.3,858.8,901.8,936.6,954.7,991.5,1021.9,1064.3,1098.4,1131.1,1173.5,1216.9,1239,1263.8,1293.8,1340.8,1375.3,1411.2,1445.3,1485.3
Israel,95.2,102.6,110.6,115.1,123.7,131.8,139.8,145.4,151.5,156.8,170.7,170.9,170.5,172.5,181.2,188.7,199.4,211.8,218.2,221.2,233.8,245.6,251.4,262.4,270.7,277.5
Japan,4682.8,4838.5,4878.1,4886.5,4928.7,5063.8,5220.8,5277,5217.4,5204.3,5348.9,5370.7,5377,5459.2,5579.5,5672.3,5752.9,5848,5784.1,5470.7,5700.1,5693.5,5778.6,5894.2,5914,5986.1
Korea,362.9,400.5,425.2,454.3,496.1,543.6,584.9,619.5,585.6,651.9,710,742.2,797.3,820.7,860.9,894.7,941,992.4,1020.5,1027.7,1094.5,1134.8,1160.8,1194.4,1234.3,1266.6
New Zealand,82.7,81.3,82.4,87.7,92.3,96.6,99.8,102.8,103.9,109.3,111.7,116,121.9,127.4,131.5,135.9,139.5,144.7,142.4,145.2,146.6,150.5,154.3,157.2,162,167.4
Austria,259.4,268.3,274,275.4,282,289.5,296.5,303,313.8,325.1,336,340.6,346.2,348.8,358.3,365.9,378.2,391.9,397.9,382.8,390.2,401.2,404.2,404.7,407.3,411.2
Belgium,330.5,336.6,341.8,338.5,349.4,357.7,363.4,376.9,384.4,398,412.5,415.9,423.3,426.5,442,451.3,462.6,478.3,481.9,470.9,483.5,492.2,492.9,492.6,500.7,508.1
Czech Republic,144.1,127.4,126.7,126.8,130.5,138.6,144.6,143.6,143.1,145.2,151.4,156.1,158.6,164.3,172.5,183.6,196.2,207.1,212.7,202.4,207,211.2,209.5,208.5,214.1,223.8
Denmark,229.1,232.3,236.9,236.9,249.5,257.1,264.5,273.2,279.2,287.5,298.2,300.7,302.1,303.3,311.3,318.6,331.1,334.1,332.4,316.1,322,326.3,327,330.1,335.6,341
Estonia,15,13.8,10.8,10.2,10.1,10.5,11.1,12.4,12.9,12.8,14.1,15,15.9,17.1,18.2,19.9,21.9,23.6,22.4,19.1,19.5,21,21.9,22.2,22.8,23.2
Finland,167.1,157.2,152,150.9,156.8,163.4,169.4,180,189.8,198.2,209.4,214.8,218.4,222.7,231.5,237.9,247.6,260.4,262.3,240.6,247.8,254.2,250.5,248.6,247.1,247.7
France,1907.3,1927.1,1957.9,1945.9,1991.6,2033.1,2061.3,2109.5,2184.5,2258.9,2346.5,2392.3,2419.1,2438.9,2506.9,2547.2,2607.7,2669.3,2674.5,2595.8,2646.8,2701.9,2706.8,2722.4,2748.2,2777.5
Germany,2568.6,2699.8,2751.8,2725.5,2792.5,2841,2864.2,2917.2,2974.9,3034,3123.9,3176.9,3176.9,3154.3,3191.2,3213.8,3332.7,3441.4,3478.6,3283.1,3417.1,3542.2,3559.6,3577,3634.1,3696.6
Greece,197.7,203.8,205.2,201.9,206,210.3,216.3,226,234.8,242,251.5,261.9,272.2,287.9,302.5,304.3,321.5,332.1,330.9,316.7,299.4,272,252.2,244,244.9,244.3
Hungary,103.8,91.4,88.6,88.1,90.7,92.1,92.1,95.1,99.1,102.3,106.6,110.6,115.6,120,126,131.6,136.6,137.2,138.5,129.4,130.3,132.5,130.4,133.2,138.5,142.9
Iceland,8,7.9,7.7,7.8,8.1,8.1,8.5,8.9,9.5,9.8,10.3,10.7,10.7,11,11.9,12.7,13.3,14.5,14.8,13.7,13.3,13.5,13.7,14.3,14.6,15.2
Ireland,82.6,84.2,87,89.4,94.5,103.6,113,125.2,135.5,150.2,165.1,175.1,184.9,191.6,204.5,216.3,229,237.7,227.3,216.9,221.3,221.3,218.8,221.2,239.9,303
Italy,1749.2,1776.1,1790.9,1775.6,1813.8,1866.2,1890.2,1924.9,1956,1986.5,2060.2,2096.7,2101.9,2105.1,2138.4,2158.7,2202,2234.5,2211,2089.8,2125.1,2137.3,2077.1,2041.2,2043.5,2059.5
Latvia,..,..,..,..,13,12.8,13.1,14.2,15.2,15.6,16.4,17.5,18.7,20.3,22,24.3,27.2,29.9,28.8,24.7,23.8,25.3,26.3,27,27.6,28.3
Luxembourg,24.1,26.2,26.7,27.8,28.9,30.6,31,32.7,34.7,37.7,40.8,41.8,43.4,44.1,45.7,47.2,49.6,53.7,53.1,50.7,53.2,54.6,54.4,56.5,59.7,62.1
Netherlands,530.5,543.5,552.7,559.7,576.3,594.2,615.4,641.9,670.9,704.8,734.7,750.3,751.1,753.2,768.5,785.1,812.7,842.8,857.1,824.8,836.4,850.3,841.3,839.7,851.6,868.3
Norway,255.7,263.6,273,280.8,295,307.2,322.7,339.7,348.6,355.7,367.1,374.7,380.1,383.6,398.8,409.3,419.1,431.3,433,426,428.5,432.7,444.6,449,457.6,465
