Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,  22.0,  22.2,  22.5,  22.8,  23.1,  23.5,  23.7,  24.0,  24.2,  24.5,  24.8,  25.1,  25.4,  25.6,  25.8,  26.1,  26.4,  26.8,  27.3,  27.7,  28.0,  28.4,  28.7,  29.0,  29.3,  29.6,  29.9,  30.2,  30.4,  30.7,  31.0,  31.4,  31.6,  31.9,  32.2,  32.6,  32.9,  33.2,  33.6,  34.0,  34.3,  34.8,  35.2,  35.5,  35.9
Chile,  9.7,  9.9,  10.1,  10.2,  10.4,  10.6,  10.7,  10.9,  11.0,  11.2,  11.4,  11.5,  11.7,  11.9,  12.1,  12.3,  12.5,  12.7,  13.0,  13.2,  13.4,  13.7,  13.9,  14.2,  14.4,  14.6,  14.8,  15.0,  15.2,  15.4,  15.6,  15.7,  15.9,  16.1,  16.3,  16.4,  16.6,  16.8,  16.9,  17.1,  17.3,  17.5,  17.6,  17.8,  18.0
Mexico,  53.4,  55.2,  57.1,  58.9,  60.8,  62.6,  64.5,  66.4,  68.2,  70.4,  72.1,  73.7,  75.4,  77.1,  78.8,  80.4,  82.1,  83.7,  85.4,  87.1,  88.6,  90.1,  91.6,  93.1,  94.5,  95.9,  97.2,  98.5,  99.7,  100.9,  102.1,  103.4,  104.7,  106.0,  107.2,  108.4,  109.8,  111.3,  112.9,  114.3,  115.7,  117.1,  118.4,  119.7,  121.0
United States,  207.7,  209.9,  211.9,  213.9,  216.0,  218.1,  220.3,  222.6,  225.1,  227.7,  230.0,  232.2,  234.3,  236.4,  238.5,  240.7,  242.8,  245.1,  247.4,  250.2,  253.5,  256.9,  260.3,  263.5,  266.6,  269.7,  273.0,  276.2,  279.3,  282.4,  285.2,  288.0,  290.6,  293.3,  296.0,  298.8,  301.7,  304.5,  307.2,  309.8,  312.2,  314.5,  316.8,  319.2,  321.7
OECD Americas,  292.8,  297.3,  301.6,  305.9,  310.3,  314.7,  319.2,  323.8,  328.6,  333.8,  338.3,  342.6,  346.9,  351.0,  355.2,  359.5,  363.9,  368.3,  373.0,  378.1,  383.6,  389.1,  394.5,  399.7,  404.8,  409.8,  414.9,  419.8,  424.6,  429.4,  433.9,  438.5,  442.9,  447.2,  451.7,  456.2,  461.0,  465.9,  470.7,  475.2,  479.5,  483.7,  488.0,  492.3,  496.6
Australia,  13.2,  13.4,  13.6,  13.8,  14.0,  14.1,  14.3,  14.4,  14.6,  14.8,  15.1,  15.3,  15.5,  15.7,  15.9,  16.1,  16.4,  16.7,  16.9,  17.2,  17.4,  17.6,  17.7,  17.9,  18.1,  18.4,  18.5,  18.7,  19.0,  19.2,  19.4,  19.6,  19.9,  20.1,  20.4,  20.7,  21.1,  21.5,  21.9,  22.2,  22.6,  23.0,  23.3,  23.7,  24.1
Israel,  3.0,  3.2,  3.3,  3.4,  3.5,  3.5,  3.6,  3.7,  3.8,  3.9,  4.0,  4.0,  4.1,  4.2,  4.2,  4.3,  4.4,  4.4,  4.5,  4.7,  5.0,  5.1,  5.3,  5.4,  5.5,  5.7,  5.8,  6.0,  6.1,  6.3,  6.5,  6.6,  6.7,  6.8,  7.0,  7.1,  7.2,  7.4,  7.5,  7.6,  7.8,  7.9,  8.1,  8.2,  8.4
Japan,  105.0,  106.4,  108.9,  110.4,  111.8,  113.0,  114.1,  115.2,  116.1,  117.1,  117.9,  118.7,  119.5,  120.3,  121.0,  121.7,  122.2,  122.7,  123.2,  123.6,  124.1,  124.6,  124.9,  125.1,  125.4,  125.7,  126.0,  126.3,  126.6,  126.8,  127.1,  127.4,  127.6,  127.7,  127.8,  127.8,  128.0,  128.0,  128.0,  128.0,  127.8,  127.6,  127.3,  127.1,  127.0
Korea,  32.9,  33.5,  34.1,  34.7,  35.3,  35.8,  36.4,  37.0,  37.5,  38.1,  38.7,  39.3,  39.9,  40.4,  40.8,  41.2,  41.6,  42.0,  42.4,  42.9,  43.3,  43.7,  44.2,  44.6,  45.1,  45.5,  46.0,  46.3,  46.6,  47.0,  47.4,  47.6,  47.9,  48.0,  48.1,  48.4,  48.6,  48.9,  49.2,  49.4,  49.8,  50.0,  50.2,  50.4,  50.6
New Zealand,  2.9,  2.9,  3.0,  3.0,  3.1,  3.1,  3.1,  3.1,  3.1,  3.1,  3.2,  3.2,  3.2,  3.3,  3.3,  3.3,  3.3,  3.3,  3.3,  3.4,  3.5,  3.5,  3.6,  3.6,  3.7,  3.7,  3.8,  3.8,  3.8,  3.9,  3.9,  4.0,  4.0,  4.1,  4.1,  4.2,  4.2,  4.3,  4.3,  4.4,  4.4,  4.4,  4.5,  4.5,  4.6
OECD Asia Oceania,  157.0,  159.5,  162.9,  165.3,  167.6,  169.6,  171.6,  173.4,  175.2,  177.0,  178.8,  180.5,  182.3,  183.8,  185.3,  186.6,  187.9,  189.2,  190.4,  191.7,  193.3,  194.6,  195.7,  196.7,  197.9,  199.0,  200.1,  201.2,  202.1,  203.2,  204.3,  205.2,  206.1,  206.8,  207.4,  208.2,  209.1,  210.2,  210.9,  211.7,  212.3,  212.9,  213.4,  214.0,  214.7
Austria,  7.5,  7.5,  7.6,  7.6,  7.6,  7.6,  7.6,  7.6,  7.5,  7.5,  7.6,  7.6,  7.6,  7.6,  7.6,  7.6,  7.6,  7.6,  7.6,  7.7,  7.8,  7.8,  7.9,  7.9,  7.9,  8.0,  8.0,  8.0,  8.0,  8.0,  8.0,  8.1,  8.1,  8.2,  8.2,  8.3,  8.3,  8.3,  8.3,  8.4,  8.4,  8.4,  8.5,  8.5,  8.6
Belgium,  9.7,  9.7,  9.7,  9.8,  9.8,  9.8,  9.8,  9.8,  9.8,  9.9,  9.9,  9.9,  9.9,  9.9,  9.9,  9.9,  9.9,  9.9,  9.9,  10.0,  10.0,  10.0,  10.1,  10.1,  10.1,  10.2,  10.2,  10.2,  10.2,  10.2,  10.3,  10.3,  10.4,  10.4,  10.5,  10.5,  10.6,  10.7,  10.8,  10.9,  11.0,  11.1,  11.1,  11.2,  11.2
