Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,27.7,28,28.4,28.7,29,29.3,29.6,29.9,30.2,30.4,30.7,31,31.4,31.6,31.9,32.2,32.6,32.9,33.2,33.6,34,34.3,34.8,35.2,35.5,35.9
Chile,13.2,13.4,13.7,13.9,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.7,15.9,16.1,16.3,16.4,16.6,16.8,16.9,17.1,17.3,17.5,17.6,17.8,18
Mexico,87.1,88.6,90.1,91.6,93.1,94.5,95.9,97.2,98.5,99.7,100.9,102.1,103.4,104.7,106,107.2,108.4,109.8,111.3,112.9,114.3,115.7,117.1,118.4,119.7,121
United States,250.2,253.5,256.9,260.3,263.5,266.6,269.7,273,276.2,279.3,282.4,285.2,288,290.6,293.3,296,298.8,301.7,304.5,307.2,309.8,312.2,314.5,316.8,319.2,321.7
Australia,17.2,17.4,17.6,17.7,17.9,18.1,18.4,18.5,18.7,19,19.2,19.4,19.6,19.9,20.1,20.4,20.7,21.1,21.5,21.9,22.2,22.6,23,23.3,23.7,24.1
Israel,4.7,5,5.1,5.3,5.4,5.5,5.7,5.8,6,6.1,6.3,6.5,6.6,6.7,6.8,7,7.1,7.2,7.4,7.5,7.6,7.8,7.9,8.1,8.2,8.4
Japan,123.6,124.1,124.6,124.9,125.1,125.4,125.7,126,126.3,126.6,126.8,127.1,127.4,127.6,127.7,127.8,127.8,128,128,128,128,127.8,127.6,127.3,127.1,127
Korea,42.9,43.3,43.7,44.2,44.6,45.1,45.5,46,46.3,46.6,47,47.4,47.6,47.9,48,48.1,48.4,48.6,48.9,49.2,49.4,49.8,50,50.2,50.4,50.6
New Zealand,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.9,3.9,4,4,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.5,4.6
Austria,7.7,7.8,7.8,7.9,7.9,7.9,8,8,8,8,8,8,8.1,8.1,8.2,8.2,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.5,8.5,8.6
Belgium,10,10,10,10.1,10.1,10.1,10.2,10.2,10.2,10.2,10.2,10.3,10.3,10.4,10.4,10.5,10.5,10.6,10.7,10.8,10.9,11,11.1,11.1,11.2,11.2
Czech Republic,10.4,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.2,10.2,10.2,10.2,10.2,10.3,10.3,10.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Denmark,5.1,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.7
Estonia,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Finland,5,5,5,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.5
France,58.2,58.5,58.8,59.1,59.3,59.5,59.7,59.9,60.1,60.5,60.9,61.3,61.8,62.2,62.7,63.1,63.6,64,64.3,64.7,65,65.3,65.6,65.9,66.2,66.5
Germany,79.4,80,80.5,80.9,81.1,81.3,81.5,81.5,81.4,81.4,81.5,81.5,81.6,81.5,81.5,81.3,81.2,81,80.8,80.5,80.3,80.3,80.4,80.6,81,81.7
Greece,10.3,10.4,10.4,10.5,10.5,10.6,10.6,10.7,10.7,10.8,10.8,10.9,10.9,10.9,11,11,11,11,11.1,11.1,11.1,11.1,11,11,10.9,10.9
Hungary,10.4,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.2,10.2,10.2,10.2,10.1,10.1,10.1,10.1,10.1,10,10,10,10,9.9,9.9,9.9,9.8
Iceland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Ireland,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6
Italy,56.7,56.8,56.8,56.8,56.8,56.8,56.9,56.9,56.9,56.9,56.9,57,57.1,57.4,57.8,58.2,58.4,58.8,59.2,59.6,59.8,60.1,60.3,60.6,60.8,60.7
Latvia,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2,2
Luxembourg,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
Netherlands,14.9,15.1,15.2,15.3,15.4,15.5,15.5,15.6,15.7,15.8,15.9,16,16.1,16.2,16.3,16.3,16.3,16.4,16.4,16.5,16.6,16.7,16.8,16.8,16.9,16.9
Norway,4.2,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5,5,5.1,5.1,5.2
Poland,38,38.1,38.2,38.2,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.2,38.2,38.2,38.2,38.1,38.1,38.1,38.2,38.5,38.5,38.5,38.5,38.5,38.5
Portugal,10,10,10,10,10,10,10.1,10.1,10.2,10.2,10.3,10.4,10.4,10.5,10.5,10.5,10.5,10.5,10.6,10.6,10.6,10.6,10.5,10.5,10.4,10.4
Slovak Republic,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Slovenia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1
Spain,39.3,39.4,39.5,39.6,39.7,39.7,39.9,40.1,40.2,40.4,40.6,40.8,41.4,42.2,42.9,43.7,44.4,45.2,46,46.4,46.6,46.7,46.8,46.6,46.5,46.4
Sweden,8.6,8.6,8.7,8.7,8.8,8.8,8.8,8.8,8.9,8.9,8.9,8.9,8.9,9,9,9,9.1,9.1,9.2,9.3,9.4,9.4,9.5,9.6,9.7,9.8
Switzerland,6.8,6.9,6.9,7,7,7.1,7.1,7.2,7.2,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.5,7.6,7.7,7.8,7.9,7.9,8,8.1,8.2,8.3
Turkey,55.1,56.1,57,57.9,58.8,59.8,60.7,61.6,62.5,63.4,64.3,65.1,66,66.9,67.7,68.6,69.4,70.2,71.1,72.1,73,74,74.9,75.8,76.6,77.5
United Kingdom,57.2,57.4,57.6,57.7,57.9,58,58.2,58.3,58.5,58.7,58.9,59.1,59.4,59.6,60,60.4,60.8,61.3,61.8,62.3,62.8,63.3,63.7,64.1,64.6,65.1
Albania,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Armenia,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Azerbaijan,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.8,7.9,8,8,8.1,8.2,8.2,8.3,8.4,8.5,8.6,8.8,8.9,9.1,9.2,9.3,9.4,9.5,9.6
Belarus,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.1,10.1,10,10,9.9,9.9,9.8,9.7,9.7,9.6,9.6,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Bosnia and Herzegovina,4.5,4.4,4.3,4.1,4,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Bulgaria,8.7,8.6,8.5,8.5,8.4,8.4,8.4,8.3,8.3,8.2,8.2,8,7.8,7.8,7.7,7.7,7.6,7.5,7.5,7.4,7.4,7.3,7.3,7.3,7.2,7.2
Croatia,4.8,4.5,4.5,4.6,4.7,4.7,4.5,4.6,4.5,4.6,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2
Cyprus,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8
FYR of Macedonia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Georgia,4.8,4.8,4.9,4.9,4.9,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.7,3.7
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,16.3,16.5,16.4,16.3,16.1,15.8,15.6,15.3,15.1,14.9,14.9,14.9,14.9,14.9,15,15.1,15.3,15.5,15.7,16.1,16.3,16.6,16.8,17,17.3,17.5
Kosovo,..,..,..,..,..,..,..,..,..,..,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Kyrgyzstan,4.4,4.5,4.5,4.5,4.5,4.6,4.6,4.7,4.8,4.8,4.9,4.9,5,5,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.6,5.7,5.8,6
Lithuania,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3,3,3,2.9,2.9
Malta,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Republic of Moldova,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Romania,23.2,23,22.8,22.8,22.7,22.7,22.6,22.6,22.5,22.5,22.4,22.1,21.7,21.6,21.5,21.3,21.2,20.9,20.5,20.4,20.2,20.1,20.1,20,19.9,19.8
Russian Federation,148.3,148.6,148.7,148.5,148.3,148.4,148.2,147.9,147.7,147.2,146.6,146,145.3,144.6,144.1,143.5,143.1,142.8,142.7,142.8,142.8,143,143.2,143.5,143.8,144.1
Serbia,10.1,10.1,10.2,10.3,10.3,10.3,10.3,10.3,10.1,9.9,8.1,8.1,8.1,8.1,8.1,7.4,7.4,7.4,7.4,7.3,7.3,7.2,7.2,7.2,7.1,7.1
Tajikistan,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.9,6,6.1,6.2,6.3,6.4,6.5,6.7,6.8,7,7.1,7.3,7.4,7.6,7.8,7.9,8.1,8.3,8.5
Turkmenistan,3.7,3.8,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.9,4.9,5,5,5.1,5.2,5.2,5.3,5.4
